id,votes_no,votes_1,votes_2,votes_3,votes_4,votes_5
21350776117,0,1,2,2,0,0
21541219770,0,3,0,2,0,0
21541393175,0,1,1,2,1,0
21703456020,0,1,4,0,0,0
21714136683,0,2,1,0,1,0
21719325641,0,2,0,1,2,0
21759097190,2,0,2,0,0,0
21952700548,0,3,0,0,1,0
22014197663,0,1,2,2,0,0
22131131953,1,2,2,0,0,0
22131221380,2,0,2,0,0,1
22219385703,0,3,0,2,0,0
22295517896,1,0,2,1,0,1
22367778262,1,1,1,1,0,1
22409765367,0,3,2,0,0,0
22410048652,0,1,0,0,3,0
22469018150,1,3,0,0,0,0
22478776506,1,1,1,0,1,0
22653120122,0,1,1,1,1,0
22653246043,1,3,0,0,0,0
22653538252,1,1,2,0,0,0
22653616884,0,3,0,0,1,0
22729976202,0,1,2,1,0,0
22835985734,1,3,1,0,0,0
22923043077,2,0,0,0,0,0
22977248126,2,2,0,1,0,0
22978577042,0,3,0,2,0,0
23099753418,2,3,0,0,0,0
23100277837,1,1,2,1,0,0
23158122871,1,1,1,1,1,0
23158514819,2,0,1,1,0,0
23250523551,0,4,1,0,0,0
23859942106,1,1,1,2,0,0
23959555345,1,2,1,1,0,0
24022914613,1,0,0,2,0,0
24254637871,2,1,1,0,0,0
24410049759,1,2,1,1,0,0
24417853445,3,0,1,0,0,0
24418224999,1,4,0,0,0,0
24614247103,1,2,0,1,0,0
24614760432,1,2,1,2,0,0
24797910157,0,1,3,1,0,0
24798077396,1,3,0,1,0,0
24798159038,0,2,2,0,1,0
24905942559,0,1,1,2,0,0
25069752786,1,0,1,2,0,1
25198372247,0,0,3,1,0,0
25306634825,0,1,1,2,1,0
25306740603,1,0,1,1,2,0
25453636014,0,0,4,0,1,0
25500379578,2,0,1,2,0,0
25528142478,0,2,1,1,1,0
25741933160,1,0,2,1,0,0
25742062653,0,1,2,1,1,0
25742443698,0,4,1,0,0,0
25742638945,3,0,0,0,0,0
25743433957,0,1,1,1,1,0
25844913348,2,4,0,0,0,0
26136395298,1,1,2,0,1,0
26212389086,0,3,1,0,0,0
26264724912,1,3,0,1,0,0
26701697325,0,3,0,2,0,0
26796055212,0,3,1,0,0,0
26807709675,0,1,1,2,0,1
26976247845,1,4,0,0,0,0
26976938514,0,1,3,0,0,0
27050247093,2,1,0,1,0,0
27052681636,0,1,3,1,0,0
27400339361,1,1,2,0,0,0
27566838460,0,2,1,1,1,0
27567137812,1,0,1,3,0,0
27975180106,0,0,2,1,1,0
27975752797,0,2,1,1,1,0
28544090625,0,1,0,1,1,0
28748344755,0,2,1,1,1,0
29032702410,0,5,0,1,0,0
29139246580,0,2,2,0,0,0
29140399504,1,1,2,0,0,0
29140465928,0,2,1,0,0,0
29206203050,3,0,0,2,0,0
29521230755,2,0,1,1,1,0
29629142500,0,3,0,0,1,1
3531845467639808,1,0,1,2,0,1
3532416790564864,1,0,0,3,1,0
3532626862284800,0,1,1,0,1,1
3533041876082688,1,2,0,1,0,1
3586711355392001,0,0,0,5,0,0
3587093666205696,3,0,0,0,0,0
7557678003920897,0,3,0,0,0,0
8345209372934144,0,1,1,0,1,2
8345545651261441,2,2,0,1,0,0
8625620447666176,0,1,1,2,1,0
8631410231349248,2,0,1,1,1,0
10115063612444672,1,1,2,1,1,0
13626131747971072,1,3,0,1,0,0
15203404057935872,2,0,1,1,0,0
16695162465943554,2,2,0,0,1,0
19107598871560192,2,2,1,0,0,0
20307501543067648,0,0,1,2,1,1
20311793138139136,3,0,0,0,0,0
22303989420793856,0,1,1,2,1,0
22479077663313921,0,2,2,1,0,0
24497938461892608,0,2,1,1,0,0
25251207303921666,3,1,0,0,1,0
25409037646430209,1,0,2,2,0,0
25666768714342400,1,3,1,0,0,0
26825835872788481,0,0,2,2,0,1
26825952315047937,0,2,2,1,0,0
26826258461499392,0,0,2,0,0,0
26828697231167489,2,0,1,2,0,0
27782558095773696,1,2,0,1,0,0
27949130907127808,2,1,0,2,0,0
28266865654501377,0,2,0,1,2,0
28267987463053312,2,0,3,0,0,0
29725985532289024,1,1,2,1,0,0
31450965466943488,2,2,1,0,0,0
32234206515961856,1,3,0,1,0,0
32237641441222656,0,1,1,3,0,0
34423372288888833,2,2,1,0,0,0
34423594494726144,1,3,0,1,0,0
34424038235308032,3,1,1,0,0,0
34424472802951168,3,0,0,0,0,0
35136186909458432,0,3,2,0,0,0
35136496537182208,0,3,2,0,0,0
35136694533488641,0,1,1,2,1,0
35136950532837376,0,0,2,2,0,1
35839804021153792,1,2,0,0,1,1
37023116072992768,3,0,1,0,0,0
40456560870309888,1,0,4,0,0,0
40456860976807936,0,1,2,1,1,0
40591170744619009,1,2,1,0,0,0
41146791361519616,1,2,2,0,0,0
41146888199745536,0,0,2,1,1,0
42038517852934144,2,1,1,0,0,0
43115392478089216,0,3,1,0,0,1
44036212339638272,1,1,0,2,0,1
44933317044346880,1,4,0,0,0,0
44933782398173184,3,1,0,0,0,0
44933879752175616,3,2,0,0,0,0
44935009127235584,3,1,0,0,0,0
44935171518107648,2,3,0,0,0,0
44935297154293761,3,1,0,1,0,0
44935633264848897,3,2,0,0,0,0
44935751003156481,0,2,2,0,0,0
44935879592128512,2,2,1,0,0,0
44936393918644224,3,2,0,0,0,0
44936466203279360,1,2,1,1,0,0
44936554879254528,4,0,0,0,0,0
46324492171100160,0,3,1,1,0,0
46349496334041088,3,0,0,0,0,0
48879778547236864,2,1,1,2,0,0
48882879446532096,1,1,0,3,0,0
51012783805968384,1,1,2,0,1,0
51696849278607360,3,0,0,0,0,0
51700695262429184,0,0,4,1,0,0
51853091854749697,2,1,1,1,0,0
53564556651409408,0,3,2,0,0,0
54701386264363008,0,1,2,1,0,0
55073255341572097,0,2,2,1,0,0
55073849670246400,1,4,0,0,0,0
56111938169602048,1,1,3,0,0,0
57108227325837312,1,4,0,0,0,0
57108334830043136,0,0,2,2,1,0
57551693675626497,2,2,0,0,0,0
58244744358268928,1,4,0,0,0,0
59689465903448065,0,0,0,2,3,0
60100164584620032,2,2,2,0,0,0
60146218944303104,2,2,0,0,0,0
60147243373690881,1,1,0,3,0,0
61528992372629505,0,1,3,1,0,0
61921215341805568,0,0,2,1,2,0
61948626867470336,0,2,3,0,0,0
61949627229941760,1,1,2,0,1,0
62238455832383488,3,0,0,2,0,0
62242213685510144,2,3,0,1,0,0
62257426220584960,0,1,2,2,0,0
62273340756344832,0,1,2,2,0,0
62355493649264640,0,0,1,2,0,1
62363181061910528,1,1,1,1,0,0
62630239330770944,0,3,1,0,0,0
62633251927367680,1,2,1,1,0,0
62633958684364802,1,1,2,1,0,0
62656834179305472,0,4,0,0,1,0
62682142169247744,2,1,2,0,0,0
62702934047195137,3,1,1,0,0,0
62903634618351616,2,0,1,1,1,0
63003739979661312,0,1,1,1,1,1
63391482463264768,1,2,0,1,1,0
63639587926446080,1,1,1,1,1,0
63741829178335232,1,2,2,0,0,0
64390538455027712,2,0,1,0,2,0
64394490424733696,2,1,1,0,1,0
64450751140868096,0,0,2,1,2,0
64452026863587328,2,1,0,2,0,0
64454401506553857,2,0,3,0,0,0
64479983577468928,0,3,2,0,0,0
65092173317681152,1,5,0,0,0,0
65191953452630016,3,2,0,0,0,0
65224395785904128,1,1,1,0,2,0
65235369146322944,4,0,0,0,1,0
65904264484110336,0,1,3,1,0,0
65904530927271937,1,2,1,0,0,1
65905157560475649,0,2,3,0,0,0
66150332606070784,0,0,4,0,0,0
66245349785878529,0,3,1,1,0,0
66245809284460544,0,2,1,2,0,0
66623598214914051,1,2,2,0,0,0
66638891003813888,0,1,2,1,1,0
66639112102354944,0,1,0,2,1,0
66882549628157952,1,0,4,0,0,0
66950721022607362,1,3,2,0,0,0
66972718519697408,2,0,0,0,0,0
66996563054051328,0,0,1,3,0,1
67017953505320961,2,2,1,0,0,0
67040848747048960,1,3,0,0,0,0
67054612955406336,1,2,1,0,1,0
67061970171461632,1,0,2,0,1,0
67251853859106818,0,0,2,3,1,0
67252185993449472,1,0,3,1,0,0
67374364827459584,1,1,1,0,0,0
67376848295829504,0,1,4,0,0,0
67388338679721984,0,1,1,3,0,0
67601720586420224,1,2,1,1,1,0
67744269766635520,3,2,0,0,0,0
67958324011859969,3,0,0,0,0,0
67980970065788929,3,0,0,0,0,0
67991050022699008,1,2,0,2,0,0
68046404710449152,0,5,0,0,0,0
68124406022545408,0,2,0,3,0,0
68402074118918144,0,1,1,1,2,0
68426889332658177,1,2,0,1,1,0
68451592906612736,1,1,3,0,0,0
68469265451331584,2,0,3,0,0,0
68839132369129472,1,3,1,0,0,0
69150695378522112,0,3,1,0,0,0
69196954076332032,0,0,4,1,0,0
69401667640111104,0,1,2,1,1,0
69485969371439104,0,2,2,1,0,0
69531550131290114,1,2,0,1,1,0
