id,votes_no,votes_1,votes_2,votes_3,votes_4,votes_5
21350776117,0,1,1,1,0,0
21541219770,0,1,0,1,0,0
21541393175,0,1,1,1,0,0
21714136683,0,1,1,0,0,0
21719325641,0,1,0,1,2,0
21759097190,2,0,0,0,0,0
22014197663,0,0,2,1,0,0
22131131953,0,1,2,0,0,0
22131221380,2,0,1,0,0,0
22219385703,0,1,0,2,0,0
22295517896,1,0,2,0,0,0
22367778262,0,1,0,0,0,1
22409765367,0,1,0,0,0,0
22410048652,0,1,0,0,1,0
22478776506,0,0,0,0,1,0
22653120122,0,0,1,0,0,0
22653246043,1,1,0,0,0,0
22653538252,0,0,1,0,0,0
22653616884,0,0,0,0,1,0
22729976202,0,1,0,0,0,0
22835985734,0,3,1,0,0,0
22923043077,1,0,0,0,0,0
22977248126,1,2,0,0,0,0
22978577042,0,2,0,0,0,0
23099753418,1,1,0,0,0,0
23100277837,0,0,1,1,0,0
23158122871,1,1,1,1,0,0
23158514819,0,0,1,0,0,0
23250523551,0,2,0,0,0,0
23859942106,1,1,0,2,0,0
23959555345,0,1,1,0,0,0
24022914613,1,0,0,2,0,0
24254637871,0,0,1,0,0,0
24410049759,1,0,1,1,0,0
24417853445,1,0,0,0,0,0
24418224999,1,4,0,0,0,0
24614247103,0,2,0,1,0,0
24614760432,0,0,1,2,0,0
24797910157,0,1,1,0,0,0
24798159038,0,1,1,0,0,0
24905942559,0,1,0,2,0,0
25069752786,0,0,0,1,0,1
25198372247,0,0,0,1,0,0
25306634825,0,0,0,1,1,0
25306740603,0,0,1,0,0,0
25453636014,0,0,2,0,1,0
25500379578,0,0,1,0,0,0
25528142478,0,2,1,0,1,0
25741933160,1,0,1,1,0,0
25742062653,0,1,1,0,1,0
25742443698,0,2,1,0,0,0
25742638945,2,0,0,0,0,0
25743433957,0,0,0,1,0,0
25844913348,1,2,0,0,0,0
26136395298,0,0,1,0,0,0
26212389086,0,3,0,0,0,0
26264724912,0,2,0,1,0,0
26701697325,0,2,0,0,0,0
26796055212,0,1,1,0,0,0
26807709675,0,0,0,0,0,1
26976247845,0,4,0,0,0,0
26976938514,0,1,1,0,0,0
27050247093,0,1,0,0,0,0
27052681636,0,1,0,1,0,0
27400339361,0,1,1,0,0,0
27566838460,0,1,1,1,0,0
27567137812,1,0,1,2,0,0
27975180106,0,0,2,0,0,0
27975752797,0,1,0,1,1,0
28544090625,0,1,0,0,0,0
28748344755,0,0,0,1,0,0
29032702410,0,3,0,0,0,0
29139246580,0,1,0,0,0,0
29140399504,1,0,1,0,0,0
29140465928,0,0,1,0,0,0
29206203050,1,0,0,1,0,0
29521230755,0,0,0,1,0,0
29629142500,0,2,0,0,1,0
