id,origin
21350776117,"hose"
21541219770,"humorous account"
21541393175,"humorous account"
21703456020,"hose"
21714136683,"humorous account"
21719325641,"hose"
21759097190,"humorous account"
21952700548,"humorous account"
22014197663,"humorous account"
22131131953,"hose"
22131221380,"humorous account"
22219385703,"hose"
22295517896,"humorous account"
22367778262,"humorous account"
22409765367,"humorous account"
22410048652,"hose"
22469018150,"humorous account"
22478776506,"humorous account"
22653120122,"humorous account"
22653246043,"hose"
22653538252,"humorous account"
22653616884,"humorous account"
22729976202,"humorous account"
22835985734,"humorous account"
22923043077,"humorous account"
22977248126,"humorous account"
22978577042,"humorous account"
23099753418,"hose"
23100277837,"humorous account"
23158122871,"hose"
23158514819,"humorous account"
23250523551,"hose"
23859942106,"hose"
23959555345,"humorous account"
24022914613,"humorous account"
24254637871,"humorous account"
24410049759,"humorous account"
24417853445,"humorous account"
24418224999,"humorous account"
24614247103,"hose"
24614760432,"humorous account"
24797910157,"humorous account"
24798077396,"humorous account"
24798159038,"humorous account"
24905942559,"hose"
25069752786,"humorous account"
25198372247,"humorous account"
25306634825,"hose"
25306740603,"hose"
25453636014,"hose"
25500379578,"humorous account"
25528142478,"humorous account"
25741933160,"humorous account"
25742062653,"humorous account"
25742443698,"hose"
25742638945,"humorous account"
25743433957,"hose"
25844913348,"humorous account"
26136395298,"hose"
26212389086,"hose"
26264724912,"humorous account"
26701697325,"humorous account"
26796055212,"hose"
26807709675,"hose"
26976247845,"humorous account"
26976938514,"hose"
27050247093,"hose"
27052681636,"hose"
27400339361,"humorous account"
27566838460,"humorous account"
27567137812,"humorous account"
27975180106,"hose"
27975752797,"humorous account"
28544090625,"humorous account"
28748344755,"hose"
29032702410,"humorous account"
29139246580,"humorous account"
29140399504,"hose"
29140465928,"humorous account"
29206203050,"humorous account"
29521230755,"humorous account"
29629142500,"humorous account"
3531845467639808,"humorous account"
3532416790564864,"humorous account"
3532626862284800,"humorous account"
3533041876082688,"humorous account"
3586711355392001,"humorous account"
3587093666205696,"humorous account"
7557678003920897,"humorous account"
8345209372934144,"humorous account"
8345545651261441,"hose"
8625620447666176,"hose"
8631410231349248,"humorous account"
10115063612444672,"humorous account"
13626131747971072,"humorous account"
15203404057935872,"hose"
16695162465943554,"hose"
19107598871560192,"hose"
20307501543067648,"hose"
20311793138139136,"humorous account"
22303989420793856,"hose"
22479077663313921,"humorous account"
24497938461892608,"humorous account"
25251207303921666,"humorous account"
25409037646430209,"humorous account"
25666768714342400,"hose"
26825835872788481,"humorous account"
26825952315047937,"humorous account"
26826258461499392,"humorous account"
26828697231167489,"humorous account"
27782558095773696,"humorous account"
27949130907127808,"humorous account"
28266865654501377,"hose"
28267987463053312,"hose"
29725985532289024,"hose"
31450965466943488,"humorous account"
32234206515961856,"humorous account"
32237641441222656,"hose"
34423372288888833,"hose"
34423594494726144,"humorous account"
34424038235308032,"hose"
34424472802951168,"humorous account"
35136186909458432,"humorous account"
35136496537182208,"hose"
35136694533488641,"hose"
35136950532837376,"humorous account"
35839804021153792,"humorous account"
37023116072992768,"humorous account"
40456560870309888,"hose"
40456860976807936,"humorous account"
40591170744619009,"hose"
41146791361519616,"hose"
41146888199745536,"hose"
42038517852934144,"hose"
43115392478089216,"humorous account"
44036212339638272,"humorous account"
44933317044346880,"hose"
44933782398173184,"humorous account"
44933879752175616,"humorous account"
44935009127235584,"humorous account"
44935171518107648,"hose"
44935297154293761,"humorous account"
44935633264848897,"hose"
44935751003156481,"humorous account"
44935879592128512,"hose"
44936393918644224,"humorous account"
44936466203279360,"humorous account"
44936554879254528,"humorous account"
46324492171100160,"hose"
46349496334041088,"humorous account"
48879778547236864,"humorous account"
48882879446532096,"humorous account"
51012783805968384,"humorous account"
51696849278607360,"humorous account"
51700695262429184,"hose"
51853091854749697,"humorous account"
53564556651409408,"hose"
54701386264363008,"humorous account"
55073255341572097,"humorous account"
55073849670246400,"hose"
56111938169602048,"humorous account"
57108227325837312,"humorous account"
57108334830043136,"hose"
57551693675626497,"hose"
58244744358268928,"humorous account"
59689465903448065,"hose"
60100164584620032,"humorous account"
60146218944303104,"humorous account"
60147243373690881,"hose"
61528992372629505,"hose"
61921215341805568,"humorous account"
61948626867470336,"humorous account"
61949627229941760,"humorous account"
62238455832383488,"humorous account"
62242213685510144,"hose"
62257426220584960,"humorous account"
62273340756344832,"hose"
62355493649264640,"humorous account"
62363181061910528,"hose"
62630239330770944,"humorous account"
62633251927367680,"hose"
62633958684364802,"humorous account"
62656834179305472,"hose"
62682142169247744,"hose"
62702934047195137,"humorous account"
62903634618351616,"humorous account"
63003739979661312,"hose"
63391482463264768,"humorous account"
63639587926446080,"humorous account"
63741829178335232,"hose"
64390538455027712,"humorous account"
64394490424733696,"humorous account"
64450751140868096,"hose"
64452026863587328,"humorous account"
64454401506553857,"humorous account"
64479983577468928,"hose"
65092173317681152,"humorous account"
65191953452630016,"humorous account"
65224395785904128,"humorous account"
65235369146322944,"humorous account"
65904264484110336,"hose"
65904530927271937,"humorous account"
65905157560475649,"humorous account"
66150332606070784,"humorous account"
66245349785878529,"hose"
66245809284460544,"hose"
66623598214914051,"humorous account"
66638891003813888,"hose"
66639112102354944,"humorous account"
66882549628157952,"hose"
66950721022607362,"hose"
66972718519697408,"humorous account"
66996563054051328,"humorous account"
67017953505320961,"humorous account"
67040848747048960,"humorous account"
67054612955406336,"hose"
67061970171461632,"hose"
67251853859106818,"humorous account"
67252185993449472,"humorous account"
67374364827459584,"hose"
67376848295829504,"hose"
67388338679721984,"hose"
67601720586420224,"humorous account"
67744269766635520,"humorous account"
67958324011859969,"humorous account"
67980970065788929,"humorous account"
67991050022699008,"hose"
68046404710449152,"hose"
68124406022545408,"hose"
68402074118918144,"hose"
68426889332658177,"hose"
68451592906612736,"humorous account"
68469265451331584,"hose"
68839132369129472,"hose"
69150695378522112,"hose"
69196954076332032,"hose"
69401667640111104,"hose"
69485969371439104,"humorous account"
69531550131290114,"humorous account"
69602909511364608,"humorous account"
69739555628122112,"hose"
69800022446845952,"humorous account"
69811088706908160,"humorous account"
69821239442681857,"hose"
69886628671397888,"humorous account"
69933939682320384,"humorous account"
70142225291550720,"hose"
70276535931781120,"humorous account"
70296694897639424,"hose"
70318417286152193,"humorous account"
70504520978931712,"hose"
70543608788418560,"hose"
70594267118186496,"humorous account"
70615461770956800,"hose"
70892783552053248,"hose"
70905716688437248,"humorous account"
70972586934280192,"humorous account"
70973543583723520,"humorous account"
71018753906839552,"hose"
71228227233906688,"hose"
71239948421963777,"hose"
71249298280558592,"humorous account"
71316137626972161,"humorous account"
71357599722901504,"humorous account"
71380731061997568,"hose"
71591691454394368,"hose"
71658795222310912,"humorous account"
71682686196002816,"humorous account"
71705016137818114,"hose"
71711698993680384,"humorous account"
71952332715335763,"humorous account"
72019522223226880,"hose"
72040553361051649,"humorous account"
72086075568422913,"hose"
72107859281850368,"humorous account"
72308504861491200,"humorous account"
72351680011837440,"hose"
72372428113850368,"humorous account"
72404965586501633,"humorous account"
72699278681841664,"hose"
72720455924060160,"humorous account"
72765821646143488,"hose"
72830823002423296,"hose"
73072325062443008,"hose"
73119384763240448,"humorous account"
73426866232500225,"hose"
73459624287801344,"hose"
73491283028623360,"humorous account"
73534875877122049,"humorous account"
73760870303408128,"hose"
73783158709026816,"humorous account"
73902282714005504,"humorous account"
73929878612881408,"humorous account"
74119419462303746,"hose"
74271135432323072,"humorous account"
74273022621646848,"humorous account"
74498310311915520,"humorous account"
74506870731182080,"humorous account"
74510548401799168,"humorous account"
74635848523591682,"hose"
74654251695083521,"humorous account"
74871590483017729,"humorous account"
74940720464674816,"hose"
74984896728281088,"hose"
75280856637374464,"hose"
75304720230649856,"humorous account"
75320265810255872,"humorous account"
75326130256740352,"hose"
75373995310059520,"hose"
75379263146180609,"hose"
75380856306401280,"hose"
75382575597760513,"hose"
75578771033432065,"humorous account"
75620543243616256,"hose"
75643647617548289,"humorous account"
75691266880454656,"humorous account"
75733073647513601,"humorous account"
75749705715429376,"hose"
75984361442381824,"humorous account"
76006394331004929,"hose"
76029621140865024,"hose"
76053217217224705,"humorous account"
76077362801934336,"humorous account"
76084049541730304,"humorous account"
76094323678121985,"humorous account"
76338311404322816,"humorous account"
76380811418533888,"humorous account"
76426763466588160,"hose"
76428469151600641,"hose"
76445347773296641,"humorous account"
76452516602200065,"hose"
76681846896852992,"humorous account"
76774415089676288,"humorous account"
76803293329899520,"hose"
77033365445951488,"humorous account"
77050943564300289,"hose"
77073105310330881,"hose"
77082924301819905,"hose"
77089804596158465,"humorous account"
77097008627855360,"humorous account"
77115019367677952,"hose"
77118437679304704,"humorous account"
77128648129392641,"humorous account"
77133958730625024,"humorous account"
77133973087727617,"humorous account"
77405463276298240,"humorous account"
77406780702986240,"humorous account"
77425029607993345,"hose"
77428332312006656,"humorous account"
77452841685499904,"humorous account"
77454046813892608,"humorous account"
77466499438227456,"hose"
77467273207627776,"humorous account"
77469130973908993,"hose"
77509839089176577,"hose"
77554545022074880,"humorous account"
77558130732564480,"hose"
77558131001008128,"hose"
77559293691445250,"humorous account"
77773810471936002,"humorous account"
77828219981668352,"humorous account"
77841618681602049,"humorous account"
77931076995137536,"humorous account"
78114609210466304,"hose"
78136756045758464,"humorous account"
78205790648938496,"hose"
78251096660918272,"humorous account"
78271270940196864,"humorous account"
78271355316994048,"humorous account"
78520829289299968,"hose"
78541449465036800,"humorous account"
78542920038363136,"hose"
78587692782333952,"humorous account"
78955113514938368,"humorous account"
79018866386276352,"humorous account"
79287778420068352,"humorous account"
79365067832950784,"humorous account"
79365668465680384,"humorous account"
79366810016825345,"hose"
79599375315243008,"humorous account"
79646397632221184,"humorous account"
79669869179703297,"humorous account"
79694212827848705,"hose"
79957811412471809,"humorous account"
80027293925392385,"humorous account"
80096993057312768,"humorous account"
80291616396546048,"humorous account"
80351387497664512,"hose"
80431551829127169,"hose"
80441959658958850,"humorous account"
80583602072600576,"hose"
80648601440759808,"humorous account"
80692653641052160,"hose"
80713637823651840,"humorous account"
80729962591682560,"humorous account"
80759196630523904,"humorous account"
80805606361018369,"humorous account"
81107055318011904,"hose"
81145398802137088,"humorous account"
81170379883819008,"hose"
81183467332841472,"hose"
81465880315310080,"humorous account"
81481350045106177,"hose"
81761598343102464,"humorous account"
81825833257402369,"humorous account"
81841893952077824,"humorous account"
81868395229884417,"hose"
82127024759644160,"hose"
82127892103970816,"humorous account"
82139124215193600,"hose"
82170087288737792,"humorous account"
82244301823803392,"humorous account"
82281672606883841,"humorous account"
82498403031990272,"humorous account"
82614346940809217,"humorous account"
82838077961289728,"humorous account"
82919088292237312,"hose"
82976148207833088,"humorous account"
82978077109522432,"hose"
83218263986798592,"humorous account"
83284728077225984,"humorous account"
83286110087815168,"humorous account"
83287301173686272,"humorous account"
83289023476547584,"humorous account"
83289477648351233,"hose"
83302019464572928,"humorous account"
83617999411625985,"humorous account"
83623835802419200,"humorous account"
83627788405452801,"humorous account"
83674746851565568,"humorous account"
83701686035689472,"humorous account"
83731049498148864,"hose"
83917438361665537,"humorous account"
83920362190020609,"hose"
83978102534975488,"hose"
84037610527408129,"humorous account"
84272823752855552,"humorous account"
84273658842988547,"hose"
84273837524529152,"hose"
84274564741345281,"humorous account"
84439053809889281,"hose"
84716637923717120,"humorous account"
84747089585770496,"hose"
84777136170336257,"humorous account"
85080775271256064,"hose"
85144970511663104,"hose"
85163794115989505,"humorous account"
85164314306150400,"humorous account"
85440844244594688,"humorous account"
85466333445242880,"hose"
85467124147040256,"humorous account"
85509043250135040,"humorous account"
85529643574239234,"humorous account"
85710075850797056,"hose"
85784817433718784,"hose"
85815512541573121,"hose"
85818493525688320,"humorous account"
85821116085567489,"humorous account"
85821862256443392,"hose"
85822668204552192,"hose"
85823267738353665,"hose"
85841805920309248,"hose"
85870444774821888,"humorous account"
86115639093248000,"humorous account"
86170430821507072,"hose"
86213316506157056,"humorous account"
86225551110569984,"hose"
86454092628631552,"humorous account"
86582146147422208,"hose"
86604811012808705,"hose"
86609176914182145,"hose"
86798512997662721,"humorous account"
86811005392404481,"humorous account"
86813176682917888,"humorous account"
86974923607785473,"humorous account"
86997407275036672,"humorous account"
87006099772932096,"hose"
87193942805848064,"humorous account"
87287036544958464,"hose"
87287334810288129,"humorous account"
87292369728315393,"humorous account"
87299711312211968,"humorous account"
87305856626073600,"humorous account"
87331034361888769,"hose"
87354006803988480,"hose"
87563947754008576,"humorous account"
87626958455840768,"humorous account"
87678442568556544,"humorous account"
87680266168053760,"humorous account"
87706462884872192,"hose"
88003525191286784,"humorous account"
88081550406713344,"humorous account"
88277985261662208,"hose"
88294604411121665,"hose"
88329756206047232,"hose"
88352663661588480,"humorous account"
88383191651598336,"hose"
88616333897510912,"hose"
88616769274642433,"humorous account"
88621625980887040,"humorous account"
88622560937394176,"humorous account"
88626988843155457,"humorous account"
88633371403624448,"hose"
88679518289674240,"humorous account"
88740834878554112,"hose"
88794948996046848,"hose"
88803006224662528,"humorous account"
89001798538506240,"humorous account"
89085743812710400,"hose"
89089429725130752,"humorous account"
89090483967627264,"humorous account"
89360166864162816,"humorous account"
89415148980273152,"humorous account"
89415309966053376,"hose"
89415660890894336,"humorous account"
89417051936014336,"humorous account"
89437416678637568,"hose"
89447464523931649,"hose"
89447908075765762,"humorous account"
89461951956123648,"humorous account"
89532692370169856,"humorous account"
89700769292500992,"humorous account"
89722069322956801,"humorous account"
89775064366596096,"hose"
90116138821885953,"humorous account"
90119855738585089,"hose"
90228239078932480,"humorous account"
90456907134935040,"hose"
90457220000653312,"humorous account"
90460497937313792,"hose"
90462400083525632,"humorous account"
90468338710487040,"humorous account"
90468698506272768,"humorous account"
90532379554357249,"hose"
90544351389810688,"humorous account"
90544841104162816,"humorous account"
90544922616266752,"humorous account"
90569731366588416,"humorous account"
90868270466478080,"humorous account"
90868813658206208,"hose"
90869330027360256,"humorous account"
90870263549411328,"hose"
90871881686724608,"hose"
90900058765139968,"hose"
90931798967726080,"humorous account"
90951983615328257,"hose"
91226664549367808,"hose"
91228007519363073,"humorous account"
91228973186551808,"hose"
91229071903703040,"hose"
91232942835236864,"hose"
91233466557009921,"humorous account"
91239493683781632,"humorous account"
91259716986093568,"hose"
91301896467382272,"hose"
91535188005371904,"humorous account"
91535546509312001,"hose"
91536220064198657,"hose"
91546221742784514,"hose"
91547767096360960,"hose"
91549154643410944,"humorous account"
91549761156554752,"humorous account"
91603160879202304,"hose"
91604009693093888,"hose"
91654043797159936,"hose"
91869574135418880,"hose"
91870413637959680,"humorous account"
91874429302345729,"humorous account"
91992766187454465,"humorous account"
92016324301168640,"hose"
92019160816685056,"hose"
92258369930407936,"hose"
92258510666084353,"humorous account"
92317857077145600,"hose"
92347078721806336,"hose"
92377643982401536,"humorous account"
92624163965112321,"hose"
92625253955682304,"hose"
92625492527685632,"hose"
92633778383630336,"humorous account"
92634985227485184,"hose"
92728577451237376,"humorous account"
92956068359057408,"hose"
92959475249577984,"hose"
92961879730823168,"humorous account"
92965586153385984,"hose"
92969519810748417,"hose"
93026998854754307,"hose"
93056306839175168,"humorous account"
93407684015042560,"hose"
93408736235888640,"humorous account"
93422746167549952,"humorous account"
93452733784391680,"humorous account"
93805715013115904,"hose"
93847990334275584,"humorous account"
94043179225071617,"humorous account"
94048883130376192,"humorous account"
94049141327544320,"hose"
94049974211448832,"hose"
94110220451713025,"humorous account"
94164451800002560,"humorous account"
94165691430731777,"humorous account"
94166530924888064,"humorous account"
94168299969052672,"hose"
94223927886348288,"humorous account"
94449897327181824,"hose"
94452505592856577,"hose"
94455639438401536,"humorous account"
94531959019151360,"humorous account"
94566898360000512,"humorous account"
94596310681919488,"humorous account"
94838567821512704,"humorous account"
94894434688303105,"hose"
94922565813944320,"hose"
94957474414723072,"hose"
95168850009665536,"hose"
95176488843874304,"humorous account"
95253793591144448,"humorous account"
95255521052995584,"humorous account"
95311253022584832,"hose"
95555225728983040,"hose"
95588214307434496,"humorous account"
95601301450260482,"humorous account"
95601753063571457,"humorous account"
95609484063408129,"hose"
95611017362546688,"hose"
95611493122453504,"hose"
95611914972971008,"hose"
95904465168764928,"hose"
95905064362844160,"humorous account"
95905523999838208,"humorous account"
95906362596405249,"humorous account"
95907700633894912,"humorous account"
95963218362634240,"humorous account"
95992779473301504,"hose"
96280216019804161,"humorous account"
96311327827558400,"humorous account"
96335269195825152,"humorous account"
96402006238953475,"humorous account"
96413900978913280,"humorous account"
96597990998937601,"hose"
96601112613883904,"hose"
96604531131023360,"hose"
96644631135129600,"hose"
96761669912506369,"humorous account"
96789789772234752,"humorous account"
97050897158381569,"hose"
97074346589302784,"hose"
97074573828304896,"hose"
97104324345331712,"humorous account"
97135460891107328,"hose"
97368453526204417,"humorous account"
97430998916141056,"hose"
97502016233938944,"humorous account"
97693740558323713,"humorous account"
97704513930145792,"humorous account"
97786312089800705,"humorous account"
98061289460469760,"hose"
98077287341232128,"hose"
98077505738637313,"hose"
98078950990950400,"hose"
98081436900405248,"humorous account"
98081631239286785,"hose"
98115432594157568,"humorous account"
98141991887581184,"hose"
98146499254423553,"humorous account"
98419581663719424,"hose"
98422415499083777,"humorous account"
98424359911305216,"hose"
98424663486627840,"humorous account"
98448775282032640,"humorous account"
98449342490345472,"humorous account"
98605282426490880,"hose"
98874555908624387,"humorous account"
98878124636381184,"humorous account"
98879027691008000,"humorous account"
98879946402971648,"humorous account"
99138950303723520,"humorous account"
99164593569546240,"humorous account"
99219717037887488,"humorous account"
99298599522934784,"humorous account"
99507689599672320,"hose"
99508368225480704,"humorous account"
99509743382568960,"humorous account"
99662467394830336,"hose"
99911997726011392,"hose"
99939249528389632,"humorous account"
99967888483561473,"humorous account"
99997061629485056,"humorous account"
100028424940294144,"hose"
100372314075578368,"humorous account"
100580824348499969,"hose"
100614581096943616,"humorous account"
100642486866808832,"hose"
100957929137647616,"humorous account"
100987872219365376,"hose"
101040470326652928,"humorous account"
101073338922831872,"hose"
101079609944186881,"humorous account"
101100716009062403,"humorous account"
101336108650086400,"hose"
101336438146207748,"hose"
101337177639763969,"hose"
101337461942255616,"humorous account"
101337936297078784,"hose"
101339138862755840,"humorous account"
101339300804833280,"hose"
101393161749938176,"hose"
101460705332563969,"hose"
101487767082643457,"hose"
101703296477171712,"hose"
101742649865809920,"hose"
101744553370976256,"humorous account"
101761686578540544,"humorous account"
101764495139016705,"hose"
102088770492448768,"humorous account"
102119661960839168,"hose"
102119803455680512,"humorous account"
102119909592543232,"humorous account"
102120005990232064,"humorous account"
102120452624887808,"humorous account"
102120915801878529,"humorous account"
102150312772632577,"humorous account"
102160101665816576,"humorous account"
102442984074772481,"hose"
102491526533361664,"humorous account"
102503965937238016,"hose"
102525128268726274,"hose"
102526316263391233,"humorous account"
102532101756305408,"humorous account"
102579096596393984,"humorous account"
102771741507596288,"humorous account"
102772788389101568,"humorous account"
102773618186010624,"humorous account"
102774176204599296,"hose"
102846863828467713,"hose"
102868117079863297,"hose"
102876486981271552,"humorous account"
102880120242585600,"humorous account"
102906952606171137,"hose"
102937729851072513,"humorous account"
103213099007488000,"hose"
103275423399555072,"humorous account"
103577834047553536,"hose"
103577901403865088,"hose"
103581242481577984,"humorous account"
103581996495814657,"hose"
103582514794344448,"hose"
103582823943913472,"humorous account"
103645232607920128,"humorous account"
103866847623004160,"hose"
103867876888420352,"hose"
103885812671856640,"hose"
103956618340859904,"humorous account"
103957079252930560,"humorous account"
103972383232233472,"hose"
104222343030779906,"humorous account"
104222531296301056,"humorous account"
104226293087866881,"humorous account"
104230806804893698,"hose"
104291932922052608,"humorous account"
104563076652740608,"hose"
104563187294281730,"hose"
